timestamp,network,mainers_created,total_cycles,total_paused,total_active,total_active_low,total_active_medium,total_active_high,total_active_very_high,total_paused_low,total_paused_medium,total_paused_high,total_paused_very_high
2025-06-28T15:57:41Z,prd,143,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:58:12Z,prd,144,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:59:15Z,prd,144,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T15:59:46Z,prd,145,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:00:18Z,prd,146,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:00:49Z,prd,147,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:01:21Z,prd,147,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:01:52Z,prd,149,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:02:23Z,prd,149,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:02:55Z,prd,149,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:03:26Z,prd,150,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:03:58Z,prd,151,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:04:29Z,prd,152,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:05:01Z,prd,152,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:05:32Z,prd,152,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:06:03Z,prd,153,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:06:35Z,prd,154,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:07:06Z,prd,155,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:07:37Z,prd,156,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:08:09Z,prd,159,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:08:40Z,prd,160,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:09:11Z,prd,161,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:11:49Z,prd,161,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:12:20Z,prd,163,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:12:51Z,prd,163,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:13:23Z,prd,164,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:13:54Z,prd,165,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:14:15Z,prd,165,0,0,0,0,0,0,0,0,0,0,0
2025-06-28T16:14:25Z,prd,165,0,0,0,0,0,0,0,0,0,0,0
